date,open,high,low,close,volume
2024-04-30,101.40,102.61,99.97,100.78,1278460
2024-05-01,100.67,101.76,99.16,100.06,1259727
2024-05-02,100.00,100.95,98.42,99.40,1241283
2024-05-03,99.40,100.21,97.77,98.82,1223371
2024-05-06,98.88,99.83,97.21,98.33,1206226
2024-05-07,98.44,99.54,96.75,97.93,1190076
2024-05-08,98.10,99.31,96.41,97.63,1175133
2024-05-09,97.85,99.16,96.17,97.44,1161596
2024-05-10,97.70,99.07,96.05,97.34,1149649
2024-05-13,97.64,99.04,96.04,97.34,1139451
2024-05-14,97.68,99.58,96.38,98.19,1131146
2024-05-15,98.55,100.46,97.27,99.12,1124848
2024-05-16,99.50,101.38,98.26,100.12,1120652
2024-05-17,100.51,102.33,99.31,101.17,1118623
2024-05-20,101.57,103.29,100.42,102.27,1118801
2024-05-21,102.66,104.26,101.58,103.38,1121200
2024-05-22,103.77,105.38,102.75,104.51,1125803
2024-05-23,104.87,106.63,103.93,105.61,1132570
2024-05-24,105.95,107.84,105.09,106.69,1141431
2024-05-27,106.99,108.97,106.16,107.72,1152292
2024-05-28,107.98,110.02,107.07,108.68,1165034
2024-05-29,108.89,110.95,107.90,109.56,1179514
2024-05-30,109.72,111.75,108.66,110.35,1195570
2024-05-31,110.46,112.41,109.33,111.03,1213016
2024-06-03,111.09,112.92,109.90,111.61,1231654
2024-06-04,111.61,113.29,110.37,112.07,1251268
2024-06-05,112.01,113.53,110.74,112.43,1271631
2024-06-06,112.31,113.63,111.02,112.67,1292507
2024-06-07,112.50,113.62,111.20,112.80,1313653
2024-06-10,112.58,113.77,111.29,112.84,1334823
2024-06-11,112.58,113.87,111.30,112.79,1355770
2024-06-12,112.49,113.87,111.25,112.67,1376252
2024-06-13,112.33,113.79,111.14,112.50,1396030
2024-06-14,112.13,113.64,110.99,112.28,1414875
2024-06-17,111.89,113.43,110.82,112.03,1432570
2024-06-18,111.64,113.18,110.63,111.78,1448911
2024-06-19,111.38,112.89,110.46,111.54,1463711
2024-06-20,111.15,112.60,110.30,111.33,1476804
2024-06-21,110.95,112.32,110.11,111.15,1488041
2024-06-24,110.79,112.08,109.87,111.03,1497300
2024-06-25,110.70,111.87,109.70,110.98,1504480
2024-06-26,110.67,111.84,109.60,110.99,1509509
2024-06-27,110.73,112.08,109.59,111.08,1512338
2024-06-28,110.87,112.39,109.67,111.26,1512949
2024-07-01,111.09,112.75,109.85,111.51,1511347
2024-07-02,111.40,113.17,110.13,111.84,1507568
2024-07-03,111.79,113.63,110.50,112.25,1501674
2024-07-04,112.25,114.12,110.95,112.72,1493750
2024-07-05,112.78,114.64,111.49,113.26,1483911
2024-07-08,113.37,115.16,112.10,113.84,1472292
2024-07-09,114.01,115.69,112.77,114.45,1459051
2024-07-10,114.67,116.21,113.48,115.10,1444367
2024-07-11,115.36,116.73,114.23,115.75,1428435
2024-07-12,116.05,117.24,114.99,116.40,1411467
2024-07-15,116.74,117.96,115.75,117.04,1393686
2024-07-16,117.41,118.46,116.44,117.36,1375327
2024-07-17,117.74,118.92,116.78,117.61,1356631
2024-07-18,118.01,119.29,116.95,117.80,1337843
2024-07-19,118.20,119.56,116.99,117.93,1319210
2024-07-22,118.32,119.72,116.97,117.98,1300977
2024-07-23,118.36,119.76,116.88,117.97,1283383
2024-07-24,118.33,119.69,116.75,117.90,1266659
2024-07-25,118.23,119.52,116.58,117.78,1251028
2024-07-26,118.08,119.27,116.39,117.63,1236696
2024-07-29,117.89,118.95,116.18,117.46,1223855
2024-07-30,117.67,118.59,115.98,117.27,1212679
2024-07-31,117.44,118.27,115.78,117.08,1203319
2024-08-01,117.19,118.17,115.60,116.89,1195907
2024-08-02,116.94,118.06,115.44,116.71,1190548
2024-08-05,116.70,117.93,115.29,116.52,1187323
2024-08-06,116.46,117.79,115.17,116.35,1186287
2024-08-07,116.23,117.61,115.05,116.17,1187467
2024-08-08,116.00,117.40,114.94,116.00,1190864
2024-08-09,115.78,117.20,114.80,115.81,1196451
2024-08-12,115.55,116.95,114.65,115.62,1204173
2024-08-13,115.32,116.67,114.50,115.42,1213950
2024-08-14,115.08,116.34,114.22,115.21,1225676
2024-08-15,114.84,115.99,113.89,114.99,1239222
2024-08-16,114.60,115.62,113.58,114.76,1254435
2024-08-19,114.37,115.44,113.27,114.54,1271142
2024-08-20,114.14,115.37,112.98,114.33,1289152
2024-08-21,113.93,115.30,112.72,114.13,1308258
2024-08-22,113.75,115.23,112.50,113.96,1328239
2024-08-23,113.59,115.16,112.31,113.81,1348863
2024-08-26,113.48,115.09,112.18,113.69,1369891
2024-08-27,113.39,115.01,112.10,113.61,1391078
2024-08-28,113.35,114.93,112.07,113.56,1412177
2024-08-29,113.35,114.84,112.09,113.54,1432944
2024-08-30,113.38,114.75,112.16,113.55,1453138
2024-09-02,113.44,114.65,112.26,113.57,1472522
2024-09-03,113.52,114.55,112.41,113.62,1490874
2024-09-04,113.62,114.48,112.57,113.67,1507983
2024-09-05,113.73,114.69,112.76,113.73,1523650
2024-09-06,113.85,114.95,112.92,113.81,1537700
2024-09-09,113.98,115.19,113.08,113.89,1549971
2024-09-10,114.11,115.71,113.23,114.40,1560330
2024-09-11,114.66,116.32,113.70,114.95,1568661
2024-09-12,115.25,116.95,114.22,115.55,1574878
2024-09-13,115.89,117.59,114.78,116.21,1578918
2024-09-16,116.57,118.26,115.41,116.92,1580747
2024-09-17,117.30,118.94,116.08,117.68,1580357
2024-09-18,118.07,119.64,116.82,118.49,1577767
2024-09-19,118.89,120.37,117.61,119.35,1573024
2024-09-20,119.75,121.12,118.45,120.25,1566201
2024-09-23,120.63,122.06,119.34,121.18,1557398
2024-09-24,121.55,123.16,120.26,122.14,1546737
2024-09-25,122.47,124.26,121.22,123.11,1534365
2024-09-26,123.40,125.33,122.19,124.07,1520450
2024-09-27,124.33,126.37,123.16,125.02,1505177
2024-09-30,125.24,127.34,124.13,125.95,1488750
2024-10-01,126.11,128.23,125.08,126.83,1471387
2024-10-02,126.94,129.03,125.98,127.66,1453315
2024-10-03,127.71,129.73,126.84,128.42,1434774
2024-10-04,128.42,130.32,127.61,129.10,1416006
2024-10-07,129.04,130.79,128.15,129.70,1397258
2024-10-08,129.58,131.15,128.61,130.19,1378775
2024-10-09,130.02,131.40,128.98,130.59,1360801
2024-10-10,130.37,131.82,129.25,130.88,1343572
2024-10-11,130.62,132.15,129.44,131.07,1327315
2024-10-14,130.76,132.36,129.54,131.16,1312245
2024-10-15,130.82,132.45,129.55,131.15,1298564
2024-10-16,130.78,132.42,129.49,131.05,1286454
2024-10-17,130.67,132.28,129.37,130.88,1276080
2024-10-18,130.49,132.04,129.19,130.65,1267584
2024-10-21,130.25,131.72,128.97,130.37,1261087
2024-10-22,129.98,131.33,128.72,130.06,1256683
2024-10-23,129.68,130.91,128.47,129.74,1254441
2024-10-24,129.38,130.46,128.22,129.42,1254403
2024-10-25,129.09,130.02,127.99,129.12,1256586
2024-10-28,128.83,129.72,127.80,128.87,1260976
2024-10-29,128.61,129.67,127.67,128.67,1267534
2024-10-30,128.46,129.67,127.59,128.54,1276195
2024-10-31,128.38,129.74,127.56,128.49,1286867
2024-11-01,128.38,129.86,127.48,128.53,1299432
2024-11-04,128.48,130.06,127.50,128.67,1313750
2024-11-05,128.68,130.08,127.30,128.35,1329659
2024-11-06,128.42,129.79,127.01,128.14,1346979
2024-11-07,128.25,129.58,126.84,128.02,1365511
2024-11-08,128.19,129.63,126.96,128.40,1385039
2024-11-11,128.62,129.98,127.35,128.86,1405340
2024-11-12,129.13,130.11,127.71,129.00,1426176
2024-11-13,129.31,130.14,127.90,129.20,1447306
2024-11-14,129.54,130.46,128.16,129.45,1468485
2024-11-15,129.82,131.19,128.54,130.13,1489464
2024-11-18,130.52,132.02,129.27,130.83,1510002
2024-11-19,131.23,132.51,129.92,131.13,1529859
2024-11-20,131.53,132.88,130.26,131.40,1548804
2024-11-21,131.80,133.19,130.57,131.65,1566620
2024-11-22,132.03,133.65,131.02,132.25,1583102
2024-11-25,132.61,134.15,131.68,132.79,1598060
2024-11-26,133.13,134.41,132.01,132.87,1611325
2024-11-27,133.17,134.35,132.03,132.87,1622749
2024-11-28,133.12,134.18,131.87,132.78,1632205
2024-11-29,133.00,133.93,132.00,133.02,1639592
2024-12-02,133.18,134.02,132.11,133.18,1644832
2024-12-03,133.28,134.27,131.72,132.85,1647877
2024-12-04,132.91,134.02,131.27,132.46,1648704
2024-12-05,132.45,133.69,130.76,132.00,1647316
2024-12-06,131.94,133.26,130.62,131.89,1643747
2024-12-09,131.77,133.15,130.44,131.73,1638055
2024-12-10,131.56,132.96,129.84,131.14,1630324
2024-12-11,130.92,132.30,129.24,130.54,1620666
2024-12-12,130.27,131.60,128.65,129.93,1609214
2024-12-13,129.62,130.97,128.38,129.72,1596123
2024-12-16,129.38,130.67,128.19,129.54,1581571
2024-12-17,129.17,130.17,127.85,128.99,1565752
2024-12-18,128.60,129.45,127.40,128.47,1548874
2024-12-19,128.08,128.98,127.01,128.01,1531163
2024-12-20,127.61,129.05,126.69,128.00,1512849
2024-12-23,127.61,129.23,126.77,128.05,1494175
2024-12-24,127.67,129.04,126.83,127.77,1475386
2024-12-25,127.41,128.89,126.48,127.54,1456727
2024-12-26,127.21,128.77,126.20,127.38,1438444
2024-12-27,127.08,129.07,126.00,127.67,1420777
2024-12-30,127.42,129.39,126.27,128.02,1403959
